DISTRITO,APARTADO,NUMERO DE ARCHIVO,SITUACION,DENOMINACION,SUPERFICIE,LAT,LNG,
CARABANCHEL,PARQUES Y JARDINES,300.550,CALLE DEL SOUS DE PLATA NUM 59,JARDIN LAS CUESTAS,5726.00,,,
CARABANCHEL,PARQUES Y JARDINES,300.562,CALLE HALCONERO DEL REY,PARQUE DE LA VOLATERIA,102641.00,,,
CARABANCHEL,PARQUES Y JARDINES,300.563,AVENIDA CARABANCHEL ALTO NUM 180,PARQUE MANOLITO GAFOTAS,108784.00,,,
USERA,PARQUES Y JARDINES,300.571,RONDA COOPERATIVAS,PARQUE MESETA DE ORCASITAS,36600.00,,,
USERA,PARQUES Y JARDINES,300.572,AVENIDA RAFAELA YBARRAAVDA. POBLADOS / C/ CRISTO DE LA VICTORIA Y C/ DOCTOR TOLOSA LATOUR.,PARQUE DE PRADOLONGO.,185000.00,,,
USERA,PARQUES Y JARDINES,300.573,CALLE TORERO NUM 10C/V A ANTONIO LOPEZ,JARDIN EL TORERO,7100.00,,,
USERA,PARQUES Y JARDINES,300.574,CALLE CERECINOS S/N,JARDINES COLONIA EL ZOFIO. PARQUE OLOF PALME.,21300.00,,,
USERA,PARQUES Y JARDINES,300.575,CALLE PERALES S/N,PARQUE DEL CAMINO DE PERALES,27600.00,,,
USERA,PARQUES Y JARDINES,300.579,CALLE ANGEL DIAZ ZAMORANO S/N,PARQUE DE LA PERLA.,15012.46,,,
USERA,PARQUES Y JARDINES,300.584,CALLE SIMCA S/N,PARQUE MESETA DE ORCASITAS (AMPLIACION).,8976.00,,,
PUENTE DE VALLECAS,PARQUES Y JARDINES,300.591,AVENIDA ALBUFERAAVDA. DE BUENOS AIRES / C/ ARROYO OLIVAR,PARQUE AZORIN.,66657.10,,,
PUENTE DE VALLECAS,PARQUES Y JARDINES,300.592,CALLE PEÑA GORBEA(ANTES HERMANOS AGUIRRE) C/ PUERTO DEL MONASTERIO (ANTES NUESTRA SEÑORA DEL CARMEN, EXPLANADA),PARQUE SALON DE NUESTRA SEÑORA DEL CARMEN,4320.74,,,
PUENTE DE VALLECAS,PARQUES Y JARDINES,300.593,PARQUE DE ENTREVIAS,PARQUE DE ENTREVIAS,1047462.99,,,
PUENTE DE VALLECAS,PARQUES Y JARDINES,300.595,CALLE FERNANDO GIRALDEZ FRENTE A Nº 33-51C/ FERNANDO GIRALDEZ, FRENTE A Nº 33-51.,PARQUE FERNANDO GIRALDEZ.,5140.00,,,
MORATALAZ,PARQUES Y JARDINES,300.606,AVENIDA MORATALAZ,PARQUE DARWIN.,54824.84,,,
MORATALAZ,PARQUES Y JARDINES,300.607,CALLE MOLINA DE SEGURAC/V A AVDA. DOCTOR GARCIA TAPIA.,PARQUE DE MARTALA - JARDINES DE DIONISIO RIDRUEJO.,30620.00,,,
MORATALAZ,PARQUES Y JARDINES,300.608,CALLE ARROYO FONTARRONC/V CARRETERA NACIONAL III,PARQUE ARROYO FONTARRON,42000.00,,,
MORATALAZ,PARQUES Y JARDINES,300.609,CALLE CAMINO DE LOS VINATEROSC/V AVENIDA DE MOTARALAZ Y PLAZA DEL CORREGIDOR ALONSO DE TOBAR,PARQUE DE MORATALAZ,47200.00,,,
MORATALAZ,PARQUES Y JARDINES,300.610,CALLE ARROYO BELINCOSOC/V AVENIDA DOCTOR GARCIA TAPIA,PARQUE DE LOS PINOS,19000.00,,,
MORATALAZ,PARQUES Y JARDINES,300.620,CALLE LUIS DE HOYOS SAINZ Y MOLINA DEL SEGURAENTRE C/ LUIS DE HOYOS SAINZ Y C/ MOLINA DE SEGURA.,PARQUE VANDEL,30500.00,,,
CIUDAD LINEAL,PARQUES Y JARDINES,300.631,CALLE ANTONIO PIRALAPARQUE ANTONIO PIRALA,PARQUE BULEVAR ANTONIO PIRALA.,25000.00,,,
CIUDAD LINEAL,PARQUES Y JARDINES,300.634,CALLE ARRIAGACALLE LEDESMA Y AVDA. DE DAROCA,PARQUE DE ARRIAGA.,122000.00,,,
CIUDAD LINEAL,PARQUES Y JARDINES,300.635,CALLE JOSE LUIS DE ARRESE,PARQUE DE LA ELIPA,198620.00,,,
CIUDAD LINEAL,PARQUES Y JARDINES,300.636,CALLE VIRGEN DEL SAGRARIOC/ VIRGEN DE MURCIA Y C/ ORACULO PARQUE DEL CALERO,PARQUE DEL CALERO,68550.00,,,
CIUDAD LINEAL,PARQUES Y JARDINES,300.637,CALLE SALVADOR DE MADARIAGA,PARQUE SALVADOR DE MADARIAGA.,21909.82,,,
CIUDAD LINEAL,PARQUES Y JARDINES,300.648,AGASTIA NUM 85,PARQUE DE SAN JUAN BAUTISTA,12740.00,,,
CIUDAD LINEAL,PARQUES Y JARDINES,300.650,ARTURO SORIA ESQ. A RODRIGUEZ ILLANES NUM 233,PARQUE DEL CEDRAL,4990.37,,,
CIUDAD LINEAL,PARQUES Y JARDINES,300.651,JOSE VILLENA C/V BENIDORM NUM 15,PLAZA DE BAMI,10635.59,,,
HORTALEZA,PARQUES Y JARDINES,300.653,CALLE VELEZ RUBIO C/V C/ BACARESC/V A C/ BACARES,PARQUE DE MANOTERAS,20274.00,,,
HORTALEZA,PARQUES Y JARDINES,300.656,CALLE ULISES NUM 23NUM 23,JARDIN DE PORTUGALETE.,3533.00,,,
HORTALEZA,PARQUES Y JARDINES,300.692,CALLE SANTA VIRGILIA NUM 17,IDB SANTA VIRGILIA,36007.00,,,
HORTALEZA,PARQUES Y JARDINES,300.693,CALLE MARUJA MALLO NUM 7,IDB MARUJA MALLO,50013.69,,,
HORTALEZA,PARQUES Y JARDINES,300.694,CALLE PEONIAS NUM 2,IDB PEONIAS,11549.00,,,
HORTALEZA,PARQUES Y JARDINES,300.695,CALLE MONTALBOS NUM 41,IDB MONTALBOS,2091.40.,,
HORTALEZA,PARQUES Y JARDINES,300.696,PLAZA GOLMAYO,IDB EL BOSQUE,800.13,,,
HORTALEZA,PARQUES Y JARDINES,300.720,CALLE MARIA DE TUDOR,PARQUE MARIA TUDOR,60449.01,,,
HORTALEZA,PARQUES Y JARDINES,300.674,CARRETERA DE LA ESTACION NUM 7,PARQUE DOÑA GUIOMAR,59331.52,,,
HORTALEZA,PARQUES Y JARDINES,300.687,CALLE RAFAELA APARICIO C/V AV. MARUJA MALLO,ANILLO VERDE-CARCAVAS,1029.00,,,
HORTALEZA,PARQUES Y JARDINES,300.691,CALLE CALANDA NUM 30,IDB CALANDA,5936.00,,,
HORTALEZA,PARQUES Y JARDINES,300.726,CALLE SANTA VIRGILIA NUM 14,PAR SANTA VIRGILIA,6900.00,,,
HORTALEZA,PARQUES Y JARDINES,300.657,CALLE MAR DE LAS ANTILLAS NUM 9C/V A C/ SANTA SUSANA Y SANTA VIRGILIA,PARQUE HUERTA DE LA SALUD,20178.28,,,
VILLAVERDE,PARQUES Y JARDINES,300.727,CALLE FRANCISCO DEL PINO NUM 1,PARQUE DE LA AMISTAD,23900.00,40.3483477,-3.6921105,
VILLAVERDE,PARQUES Y JARDINES,300.730,CALLE JUAN PEÑALVERC/V A C/ PALOMARES.,PARQUE HUERTA DEL OBISPO,11100.00,40.346991,-3.7121368,
VILLAVERDE,PARQUES Y JARDINES,300.731,CALLE ALCOCER NUM 1,PARQUE VIRGEN DE LA ESPERANZA,48100.00,40.349794,-3.701216,
VILLAVERDE,PARQUES Y JARDINES,300.732,AVENIDA CARRETERA ANDALUCIA,PARQUE DEHESA BOYAL.,198382.81,40.3463108,-3.6867325,
VILLAVERDE,PARQUES Y JARDINES,300.728,PASEO PLATA Y CASTAÑAR NUM 1,PARQUE DE PLATA Y CASTAÑAR,233300.00,40.3487661,-3.7152467,
VILLA DE VALLECAS,PARQUES Y JARDINES,300.776,CALLE PUERTO DE PORZUNA S/NPUERTO DE PONZUÑA S/N,PARQUE VILLA DE VALLECAS,12000.00,40.3722742,-3.6250447,
VILLA DE VALLECAS,PARQUES Y JARDINES,300.782,CALLE PUERTO DEL BRUCH,PARQUE CAMINO DE LOS VASARES.,8889.40.40.3722742,-3.6250447,
VICALVARO,PARQUES Y JARDINES,300.849,CARRETERA VICALVARO A VALLECASCTRA. DE VICALVARO A VALLECAS S/N,PARQUE DE LA VICALVARADA,421452.47,40.4109323,-3.6142471,
VICALVARO,PARQUES Y JARDINES,300.850,CALLE CASALARREINA,PARQUE DE CASALARREINA,9100.00,,,
VICALVARO,PARQUES Y JARDINES,300.863,CALLE LADERA DE LOS ALMENDROS NUM 2,PARQUE LADERA DE LOS ALMENDROS.,32755.50,,,
VICALVARO,PARQUES Y JARDINES,300.864,CALLE LADERA DE LOS ALMENDROS NUM 46,PARQUE DE VALDEBERNARDO.,23904.00,,,
VICALVARO,PARQUES Y JARDINES,300.865,BULEVAR JOSE PRAT NUM 1,PARQUE LADERA DE LOS ALMENDROS.,18124.50,,,
VICALVARO,PARQUES Y JARDINES,300.866,C/ PRAT S/N.,LAS GALLEGAS.,11203.22,,,
VICALVARO,PARQUES Y JARDINES,300.868,CALLE CORDEL DE PAVONES NUM 9,PARQUE VALBEBERNARDO,91769.50,,,
VICALVARO,PARQUES Y JARDINES,300.887,CALLE GRAN VIA DEL ESTE NUM 16,IDB VALDERRIBAS,1676.14,,,
SAN BLAS-CANILLEJAS,PARQUES Y JARDINES,300.889,CALLE ABRILCOLONIA LLORENTE,COLONIA LLORENTE,3200.00,,,
SAN BLAS-CANILLEJAS,PARQUES Y JARDINES,300.890,CALLE NECTARC/V ESFINGE Y CIRCE,PARQUE DE CANILLEJAS,13200.00,,,
SAN BLAS-CANILLEJAS,PARQUES Y JARDINES,300.891,AVENIDA ARCENTALESPARQUE HERMANOS GARCIA NOBLEJAS-ARCENTALES,PARQUE HERMANOS GARCIA NOBLEJAS-ARCENTALES - PARQUE BULEVAR.,17500.00,,,
SAN BLAS-CANILLEJAS,PARQUES Y JARDINES,300.892,AVENIDA ARCENTALESENTRE C/ CASTILLO DE UCLES Y ALBAIDA,PARQUE DE SAN BLAS,151100.00,,,
SAN BLAS-CANILLEJAS,PARQUES Y JARDINES,300.894,CALLE ALCALA NUM 508,PARQUE QUINTA DE LOS MOLINOS,128700.00,,,
SAN BLAS-CANILLEJAS,PARQUES Y JARDINES,300.895,CALLE FENELON,PARQUE ARQUITECTO ANTONIO PALACIOS,15200.00,,,
SAN BLAS-CANILLEJAS,PARQUES Y JARDINES,300.924,CALLE MIAMI,PARQUE MAIMI,2490.00,,,
SAN BLAS-CANILLEJAS,PARQUES Y JARDINES,300.925,CALLE BELICE NUM 3,JARDINES DE LA ANTIOQUIA,4178.00,,,
SAN BLAS-CANILLEJAS,PARQUES Y JARDINES,300.937,CALLE OCCIDENTE,PARQUE OCCIDENTE - LAS MERCEDES,72839.61,,,
SAN BLAS-CANILLEJAS,PARQUES Y JARDINES,300.945,CALLE MARSELLA NUM 4,PARQUE MARSELLA-TOSCANA,23502.00,,,
SAN BLAS-CANILLEJAS,PARQUES Y JARDINES,300.952,CALLE NIZA NUM 63,PARQUE LAS MUSASPARQUE LAS MUSAS.,14650.00,,,
SAN BLAS-CANILLEJAS,PARQUES Y JARDINES,300.965,CALLE ALCALA NUM 551,FINCA QUINTA TORRE ARIAS Y AMPLIACION,184380.00,,,
BARAJAS,PARQUES Y JARDINES,300.969,AVENIDA LOGROÑO,PARQUE JUAN CARLOS I,1302306.45,,,
BARAJAS,PARQUES Y JARDINES,300.970,PASEO ALAMEDA DE OSUNA,PARQUE EL CAPRICHO,160274.00,,,
